Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-20 21:07:07,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.625,9.625,9.625e-05,9.625e-05,0.0,0,USDT,FINISHED
2025-02-20 21:12:00,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.628,9.628,9.628e-05,9.628e-05,-0.003,0,USDT,FINISHED
2025-02-20 21:24:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.662,9.662,9.662e-05,9.662e-05,0.0,0,USDT,FINISHED
2025-02-20 21:25:21,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.665,9.665,9.665e-05,9.665e-05,-0.003,0,USDT,FINISHED
2025-02-20 21:39:04,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.666,9.666,9.666e-05,9.666e-05,0.0,0,USDT,FINISHED
2025-02-20 21:39:18,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.662,9.662,9.662e-05,9.662e-05,0.004,0,USDT,FINISHED
2025-02-20 21:59:09,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,9.647,9.647,9.647e-05,9.647e-05,0.0,0,USDT,FINISHED
2025-02-20 21:59:31,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,9.648,9.648,9.648e-05,9.648e-05,0.001,0,USDT,FINISHED
2025-02-20 22:16:09,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,9.663,9.663,9.663e-05,9.663e-05,0.0,0,USDT,FINISHED
2025-02-20 22:17:21,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,9.663,9.663,9.663e-05,9.663e-05,0.0,0,USDT,FINISHED
